"","wipo_field","year","freq"
"371","Measurement","1990",217
"372","Mechanical elements","1990",46
"373","Medical technology","1990",36
"374","Micro-structural and nano-technology","1990",0
"375","Optics","1990",113
"376","Organic fine chemistry","1990",81
"377","Other consumer goods","1990",12
"378","Other special machines","1990",63
"379","Pharmaceuticals","1990",45
"380","Semiconductors","1990",61
"381","Surface technology, coating","1990",42
"382","Telecommunications","1990",41
"383","Textile and paper machines","1990",3
"384","Thermal processes and apparatus","1990",13
"385","Transport","1990",61
"386","Analysis of biological materials","1991",30
"387","Audio-visual technology","1991",26
"388","Basic communication processes","1991",37
"389","Basic materials chemistry ","1991",45
"390","Biotechnology","1991",115
"391","Chemical engineering","1991",44
"392","Civil engineering","1991",9
"393","Computer technology","1991",39
"394","Control","1991",18
"395","Digital communication","1991",11
"396","Electrical machinery, apparatus, energy","1991",128
"397","Engines, pumps, turbines","1991",81
"398","Environmental technology","1991",38
"399","Food chemistry","1991",4
"400","Furniture, games","1991",3
"401","Handling","1991",14
"402","IT methods for management","1991",1
"403","Machine tools","1991",31
"404","Macromolecular chemistry, polymers","1991",40
"405","Materials, metallurgy","1991",98
"406","Measurement","1991",263
"407","Mechanical elements","1991",39
"408","Medical technology","1991",32
"409","Micro-structural and nano-technology","1991",1
"410","Optics","1991",137
"411","Organic fine chemistry","1991",76
"412","Other consumer goods","1991",3
"413","Other special machines","1991",82
"414","Pharmaceuticals","1991",42
"415","Semiconductors","1991",90
"416","Surface technology, coating","1991",48
"417","Telecommunications","1991",50
"418","Textile and paper machines","1991",4
"419","Thermal processes and apparatus","1991",16
"420","Transport","1991",76
"421","Analysis of biological materials","1992",29
"422","Audio-visual technology","1992",30
"423","Basic communication processes","1992",38
"424","Basic materials chemistry ","1992",52
"425","Biotechnology","1992",151
"426","Chemical engineering","1992",47
"427","Civil engineering","1992",7
"428","Computer technology","1992",52
"429","Control","1992",23
"430","Digital communication","1992",9
"431","Electrical machinery, apparatus, energy","1992",131
"432","Engines, pumps, turbines","1992",114
"433","Environmental technology","1992",37
"434","Food chemistry","1992",4
"435","Furniture, games","1992",3
"436","Handling","1992",21
"437","IT methods for management","1992",0
"438","Machine tools","1992",27
"439","Macromolecular chemistry, polymers","1992",66
"440","Materials, metallurgy","1992",93
"441","Measurement","1992",252
"442","Mechanical elements","1992",42
"443","Medical technology","1992",49
"444","Micro-structural and nano-technology","1992",2
"445","Optics","1992",158
"446","Organic fine chemistry","1992",102
"447","Other consumer goods","1992",4
"448","Other special machines","1992",75
"449","Pharmaceuticals","1992",56
"450","Semiconductors","1992",88
"451","Surface technology, coating","1992",67
"452","Telecommunications","1992",48
"453","Textile and paper machines","1992",12
"454","Thermal processes and apparatus","1992",20
"455","Transport","1992",60
"456","Analysis of biological materials","1993",39
"457","Audio-visual technology","1993",27
"458","Basic communication processes","1993",30
"459","Basic materials chemistry ","1993",51
"460","Biotechnology","1993",221
"461","Chemical engineering","1993",43
"462","Civil engineering","1993",18
"463","Computer technology","1993",67
"464","Control","1993",14
"465","Digital communication","1993",9
"466","Electrical machinery, apparatus, energy","1993",127
"467","Engines, pumps, turbines","1993",113
"468","Environmental technology","1993",40
"469","Food chemistry","1993",8
"470","Furniture, games","1993",5
"471","Handling","1993",18
"472","IT methods for management","1993",1
"473","Machine tools","1993",36
"474","Macromolecular chemistry, polymers","1993",47
"475","Materials, metallurgy","1993",72
"476","Measurement","1993",235
"477","Mechanical elements","1993",33
"478","Medical technology","1993",41
"479","Micro-structural and nano-technology","1993",3
"480","Optics","1993",128
"481","Organic fine chemistry","1993",109
"482","Other consumer goods","1993",11
"483","Other special machines","1993",67
"484","Pharmaceuticals","1993",76
"485","Semiconductors","1993",97
"486","Surface technology, coating","1993",51
"487","Telecommunications","1993",56
"488","Textile and paper machines","1993",7
"489","Thermal processes and apparatus","1993",14
"490","Transport","1993",86
"491","Analysis of biological materials","1994",48
"492","Audio-visual technology","1994",30
"493","Basic communication processes","1994",43
"494","Basic materials chemistry ","1994",42
"495","Biotechnology","1994",205
"496","Chemical engineering","1994",47
"497","Civil engineering","1994",15
"498","Computer technology","1994",68
"499","Control","1994",21
"500","Digital communication","1994",14
"501","Electrical machinery, apparatus, energy","1994",138
"502","Engines, pumps, turbines","1994",96
"503","Environmental technology","1994",68
"504","Food chemistry","1994",2
"505","Furniture, games","1994",4
"506","Handling","1994",20
"507","IT methods for management","1994",1
